name,12/31/2024,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
		PayablesAndAccruedExpenses,"13,332,000","14,456,000","14,897,000","13,466,000","10,832,000","12,259,000","29,106,000","29,041,000","48,761,000","51,276,000","66,948,000","34,064,000","22,867,000","19,818,000","25,412,000","22,184,000","13,767,000","19,394,000","10,410,000","3,404,000","2,506,000","1,409,000","935,000",
			Payables,"909,000","885,000","1,992,000","1,956,000","1,385,000","1,179,000","2,414,000","1,500,000","7,174,000","5,823,000","23,415,000","16,880,000","12,602,000","9,057,000","8,813,000","7,257,000","7,348,000","9,125,000","1,146,000","765,000","681,000","728,000","735,000",
				AccountsPayable,"909,000","885,000","1,992,000","1,956,000","1,385,000","1,179,000","2,414,000","1,500,000","7,174,000","5,823,000","23,415,000","9,050,000","4,650,000","2,741,000","499,000","179,000","1,226,000","2,710,000","1,146,000","765,000","681,000","728,000","735,000",
				TotalTaxPayable,,,,,,,,,,,"8,318,000","7,830,000","7,952,000","6,316,000","6,926,000","6,164,000","6,122,000","6,415,000",,,,,,
				DuetoRelatedPartiesCurrent,,,,,,,,"1,077,000","940,000","1,464,000",,"391,000",,,,,,,,,,,,
				OtherPayable,,,,,,,,"0","0","0","950,000","8,659,000","3,693,000","2,366,000","1,388,000","914,000","861,000","0","0","0","0","0","0",
			CurrentAccruedExpenses,"12,423,000","13,571,000","12,905,000","11,510,000","9,447,000","11,080,000","26,692,000","27,541,000","41,587,000","45,453,000","43,533,000","17,184,000","10,265,000","10,761,000","16,599,000","14,927,000","6,419,000","10,269,000","9,264,000","2,639,000","1,825,000","681,000","200,000",
				InterestPayable,"302,000","584,000","989,000","1,213,000","1,714,000","2,316,000","14,345,000","15,484,000","15,588,000",,"18,216,000","17,184,000","10,265,000","10,761,000","9,811,000","10,300,000","6,419,000","6,276,000",,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,,,"7,048,000","8,341,000","7,718,000","8,374,000",,"4,627,000","3,179,000",,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"14,192,000","30,785,000","39,076,000","39,102,000","39,055,000","45,776,000","115,184,000","79,740,000","140,037,000","80,745,000","80,983,000","80,983,000","87,230,000","30,801,000","31,518,000","35,204,000","17,235,000","17,234,000","9,542,000","9,350,000","9,350,000","9,350,000",,
